,attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rTimestamp,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping,sentiment
0,,good,good,good,1,16045117,0,,good,4,GER101,"Professor Weise is tough but, you learn your German!  He is also quite hot, you will definitely want to get in that class!",07/16/2009,4.0,4.0,,4,Sorta interested,4.0,4.0,1,Yes,1247779595000,,580,,,,[],people,person,-0.034722222222222224
1,,good,average,good,0,15985661,0,,good,4,BIO05,nicely organized lectures,06/23/2009,3.0,3.0,,4,Really into it,4.0,4.0,1,Yes,1245759643000,,580,,,,[],people,people,0.6
2,Mandatory,poor,good,poor,0,28739233,0,,awful,1,6.002,Professor Voldman does not do a good job actually teaching material. He relies on gimmicks and random useless demos but does not actually teach anything. The labs for the class are not helpful for learning material. I did not feel like I have learned anything from the class. Tests are ridiculously hard and basically impossible.,10/12/2017,5.0,5.0,,1,,1.0,1.0,1,Yes,1507846694000,No,580,Yes,,,['Tough grader'],people,people,-0.17976190476190476
3,,good,average,good,0,24376159,0,,awesome,5,SIX777,"Eloquent, good at what he does",02/11/2015,3.0,3.0,,5,Really into it,5.0,5.0,1,No,1423616743000,Yes,580,,,,['Caring'],people,people,0.7
4,,good,good,good,0,13455101,0,,good,4,SIX777,Smart guy. Expect a lot of work. Generally friendly. Sometimes tries to make things seem simpler than they really are.,09/03/2007,4.0,4.0,,4,Really into it,4.0,4.0,1,Yes,1188860624000,,580,,,,[],people,people,0.17232142857142857
5,,good,poor,good,0,16267169,0,,awesome,5,HST951,"I like his sense of humor. Always available for questions. Very knowledgeable. Explains material very clearly, often with interesting stories - possibly because he's been living for many years.",10/23/2009,1.0,1.0,,5,Sorta interested,5.0,5.0,1,Yes,1256316627000,,580,,,,[],people,people,0.28833333333333333
6,,average,good,average,0,12676500,0,,average,3,HSTSECT,High Maintenance,12/23/2006,5.0,5.0,,2,Low,2.5,2.5,1,No,1166917246000,,580,,,,[],people,people,0.16
7,,good,good,good,0,12625379,0,,good,4,HSTSECT,"haughty, arrogant and hard-to-get.",12/16/2006,4.0,4.0,,4,Sorta interested,4.0,4.0,1,No,1166304150000,,580,,,,[],people,people,0.0
8,,good,average,good,0,1783632,0,,awesome,5,HST,"Seems to be a nice guy, but a hard taskmaster",03/07/2004,3.0,3.0,,4,,4.5,4.5,1,,1078619517000,,580,,,,[],people,people,0.15416666666666665
9,,good,average,good,0,1383028,0,,awesome,5,6034,funny guy,11/23/2003,3.0,3.0,,5,,5.0,5.0,1,,1069597987000,,580,,,,[],people,people,0.25
10,Mandatory,average,good,average,0,27933030,0,,average,3,6.170,"Jackson's decent at teaching. He knows his stuff, and speaks well. Unfortunately, he rarely gets rigorous, even when the course material allows for it. 6.170 comes with a lot of projects that take a while, often left open-ended by design. His teaching style borders on high school-style, mandating attendance, and other hand-holding techniques.",03/22/2017,4.0,4.0,,3,,3.0,3.0,1,No,1490187948000,Yes,580,Yes,,C,"['Lots of homework', 'Participation matters', 'Group projects']",people,people,0.10033333333333334
11,Not Mandatory,good,poor,good,0,24970165,1,,awesome,5,6170,Cool class on web dev. D-Jax made it even more cool,06/16/2015,1.0,1.0,,5,It's my life,5.0,5.0,1,No,1434470018000,Yes,580,Yes,,A,"['Amazing lectures', 'Hilarious']",person,people,0.39999999999999997
12,,good,average,good,0,12622824,0,,awesome,5,CSSECT,Teaches a very good course on software modeling using Alloy. Goes the extra mile...but by no means an easy course. expect to put in some long hours.,12/16/2006,3.0,3.0,,4,Really into it,4.5,4.5,1,No,1166276005000,,580,,,,[],people,people,0.3233333333333333
13,,good,good,good,0,11762185,1,,good,5,6170,Crisp is the word -- I'm ridiculously intimidated by this man but he lectures really well.,04/25/2006,4.0,4.0,,3,Really into it,4.0,4.0,1,,1145984042000,,580,,,,[],person,people,0.038888888888888896
14,,average,good,good,0,3151462,0,,good,3,6170,Very knowledgable but sometimes confusing. Has a menacing english accent. Ran a very organized class.,01/04/2005,4.0,4.0,,5,Really into it,4.0,4.0,1,,1104805790000,,580,,,,[],people,people,-0.18000000000000002
15,,good,average,good,0,615382,0,,awesome,5,6033,No Comments,02/22/2003,2.0,2.0,,4,,4.5,4.5,1,,1045909809000,,580,,,,[],people,people,0.0
16,,good,average,good,2,16293149,2,,awesome,5,EECS131,Wasn't sure which lab to take - within 2 lectures I was sold. Absolutely the best class I've taken at MIT. I totally agree with the class description - This class is the reason you came to MIT.,10/30/2009,3.0,3.0,,5,Sorta interested,5.0,5.0,1,No,1256919174000,,580,,,,[],people,people,0.425
17,,good,average,good,1,10305251,1,,awesome,5,6302,"Clear, organized lectures and very approachable. One of my favorite professors at MIT.",08/31/2005,3.0,3.0,,5,It's my life,5.0,5.0,1,,1125488910000,,580,,,,[],person,person,0.26666666666666666
18,,good,average,good,0,927970,0,,awesome,5,6115,"I had a lot of fun in this class!  Leeb got me interested in digital electronics, which I previously did not care much for.  He's always enthusiastic and definitely knows how to teach.",05/05/2003,3.0,3.0,,5,,5.0,5.0,1,,1052163330000,,580,,,,[],people,people,0.17976190476190476
19,,good,poor,good,1,16262778,1,,awesome,5,ACCTSYR,SHE IS MAJIC TOUCH,10/22/2009,1.0,1.0,,5,It's my life,5.0,5.0,1,Yes,1256219532000,,580,,,,[],person,person,0.0
20,,average,average,average,0,12956321,0,,good,3,CS6033,No Comments,03/31/2007,2.0,2.0,,4,Really into it,3.5,3.5,3,No,1175347113000,,580,,,,[],people,people,0.0
21,,good,average,good,0,3693374,0,,good,4,6033,No Comments,04/23/2005,3.0,3.0,,4,It's my life,4.0,4.0,3,,1114265916000,,580,,,,[],people,people,0.0
22,Not Mandatory,good,good,good,0,27392801,0,,awesome,5,EECS824,"Very knowledgeable, clear and concise presentation, sense of humor without being cheesy, fair grader.",12/08/2016,4.0,4.0,,5,,5.0,5.0,1,No,1481212514000,Yes,580,Yes,,A+,"['Respected', 'Lots of homework', 'Get ready to read']",people,people,0.12
23,,poor,average,poor,0,23611879,1,,poor,1,6207,Very confusing.,09/25/2014,3.0,3.0,,2,Really into it,1.5,1.5,1,No,1411609274000,,580,Yes,,,[],person,people,-0.39
24,,poor,good,poor,0,16431863,0,,poor,1,EECS6207,Confusing,11/27/2009,4.0,4.0,,2,Really into it,1.5,1.5,1,No,1259318265000,,580,,,,[],people,people,-0.3
25,Mandatory,good,good,good,0,26992699,1,,good,4,ENGR100,"Professor L. Rafael Reif Is passionate about education. Its clases Is very interesting, She show you the worth of Hardwork at Massachussetts Institute of Technology. Is a microeengineering electrical systems genius",09/25/2016,4.0,4.0,,4,,4.0,4.0,1,Yes,1474797556000,Yes,580,,,A,['Inspirational'],person,people,0.3
26,Not Mandatory,good,good,good,2,26202655,0,,awesome,5,ENGR100,Was an Electives i receive a C in Its Class but he is Excelent Professor. Is very though The Class he explain extremely well but is a though grader. He has and Excelent Personality . I take the course as an Electives because im not from the School of Engineering. You have to Work very Hard but remember Engineering is The Proud of MIT.,03/30/2016,4.0,4.0,,5,,5.0,5.0,1,Yes,1459322030000,,580,,,A+,"['Inspirational', 'Lots of homework', 'Gives good feedback']",people,people,0.12395833333333334
27,,good,average,good,0,13922205,0,,awesome,5,ENGR100,No Comments,12/29/2007,3.0,3.0,,5,It's my life,5.0,5.0,3,Yes,1198951558000,,580,,,,[],people,people,0.0
28,Mandatory,good,poor,good,0,23626705,0,,awesome,5,6005,"This guy is AWESOME! Helpful, encouraging, and easy to talk to. ",10/02/2014,1.0,1.0,,5,Sorta interested,5.0,5.0,1,No,1412285218000,,580,Yes,,A,"['Caring', 'Group projects', ""Skip class? You won't pass.""]",people,people,0.7166666666666667
29,,good,good,good,0,12131792,0,,awesome,5,6831,"Tough grader, but fair.  Very nice person.",08/04/2006,4.0,4.0,,5,Low,5.0,5.0,1,,1154698671000,,580,,,,[],people,people,0.3637037037037037
30,Mandatory,good,average,good,0,1823208,0,,awesome,5,6170,Great teacher and great advisor,03/19/2004,3.0,3.0,,5,,5.0,5.0,1,,1079679583000,,580,,,A-,[],people,people,0.8
31,Mandatory,good,average,good,0,29511074,0,,awesome,5,ECE,"Amazing professor. I felt I got an amazing education in security from him. Would further courses offered by him if I had the opportunity, but unfortunately my course load was full.",01/28/2018,3.0,3.0,,5,,5.0,5.0,1,No,1517136956000,Yes,580,Yes,,A,"['Respected', ""Skip class? You won't pass."", 'Inspirational']",people,people,0.21000000000000005
32,,good,average,good,0,19842527,0,,awesome,4,EECS857,Good class good professor.  Ta was horrible but he tried to make up for it in everyway possible.,02/20/2012,2.0,2.0,,5,Really into it,4.5,4.5,1,No,1329768372000,,580,,,,[],people,people,0.09999999999999998
33,,good,average,good,0,20508670,0,,awesome,4,PHYS7,Spent every Wednesday before tests in 6 hour review sessions- wouldn't leave until he was sure everyone that came to the session understood the material!,07/22/2012,2.0,2.0,,5,Low,4.5,4.5,1,No,1342958194000,,580,,,,[],people,people,0.2625
34,,average,average,average,0,12150375,0,,average,3,HST710,No Comments,08/11/2006,2.0,2.0,,3,Low,3.0,3.0,1,,1155282952000,,580,,,,[],people,people,0.0
35,Mandatory,good,good,good,0,28086603,0,,awesome,5,BE430,"Professor Alan Grodzinsky is an excellent Professor of Biological Engineering and Mechanical Engineering at Massachusetts Institute of Technology. He put a lot of works but the course is very interesting. Cellular, Mechanics and Thermodynamics put your best efforts if you want to learn . The human body is Biochemical Reactor . Thermo means Heat.",04/20/2017,4.0,4.0,,5,,5.0,5.0,1,Yes,1492672789000,Yes,580,Yes,,A+,"['Lots of homework', 'Respected', 'Tough grader']",people,people,0.6625
36,Mandatory,good,good,good,7,27975476,0,,good,4,BE410,Alan Grodzinsky the wonder Professor for Biological Engineering Courses . He explains extremely well especially Thermodynamics in Biological Engineering.,03/31/2017,4.0,4.0,,4,,4.0,4.0,1,Yes,1490963349000,Yes,580,Yes,,B+,"['Respected', 'Test heavy', 'Tough grader']",people,people,-0.0625
37,Not Mandatory,good,good,good,3,23379525,0,,awesome,5,20310,Amazing professor,06/17/2014,4.0,4.0,,5,Sorta interested,5.0,5.0,1,Yes,1403020745000,,580,,,,[],people,people,0.6000000000000001
