tDept,tSid,institution_name,tFname,tMiddlename,tLname,tid,tNumRatings,rating_class,contentType,categoryType,overall_rating
Medicine,186,Case Western Reserve University,Derek,,Abbott,1626633,1,good,TEACHER,PROFESSOR,5.0
Biology,186,Case Western Reserve University,Karen,,Abbott,2192396,3,good,TEACHER,PROFESSOR,4.7
Mechanical Engineering,186,Case Western Reserve University,Alexis,,Abramson,813093,14,good,TEACHER,PROFESSOR,4.3
History,186,Case Western Reserve University,Amy,,Absher,1550728,18,good,TEACHER,PROFESSOR,4.8
Chemistry,186,Case Western Reserve University,Kenneth,,Adair,2038178,10,good,TEACHER,PROFESSOR,3.8
Art History,186,Case Western Reserve University,Henry,,Adams,289267,21,average,TEACHER,PROFESSOR,3.1
Mechanical Engineering,186,Case Western Reserve University,Maurice,,Adams,1099605,5,poor,TEACHER,PROFESSOR,1.1
English,186,Case Western Reserve University,Wells,,Addington,1456002,5,good,TEACHER,PROFESSOR,4.4
Classics,186,Case Western Reserve University,Evelyn,,Adkins,2477888,3,good,TEACHER,PROFESSOR,5.0
Law,186,Case Western Reserve University,Jonathan,,Adler,351553,21,average,TEACHER,PROFESSOR,2.6
Macromolecular Science  Eng,186,Case Western Reserve University,Rigoberto,,Advincula,2230565,2,poor,TEACHER,PROFESSOR,2.0
Management,186,Case Western Reserve University,James,,Afarin,861042,1,poor,TEACHER,PROFESSOR,1.0
Art Education,186,Case Western Reserve University,Alexander,,Aitken,22924,14,good,TEACHER,PROFESSOR,4.2
Biomedical Engineering,186,Case Western Reserve University,Abidemi,,Ajiboye,1657478,9,good,TEACHER,PROFESSOR,5.0
Law,186,Case Western Reserve University,Ifeoma,,Ajunwa,1826960,4,good,TEACHER,PROFESSOR,4.8
Physics,186,Case Western Reserve University,Daniel,,Akerib,291293,9,good,TEACHER,PROFESSOR,3.7
Chemical Engineering,186,Case Western Reserve University,Rohan,,Akolkar,1865220,6,good,TEACHER,PROFESSOR,3.5
Theatre & Dance,186,Case Western Reserve University,Catherine,,Albers,1100545,7,average,TEACHER,PROFESSOR,3.1
Statistics,186,Case Western Reserve University,Jeffrey,,Albert,2480893,0,zero,TEACHER,PROFESSOR,N/A
Mechanical Engineering,186,Case Western Reserve University,Iwan,,Alexander,25204,21,average,TEACHER,PROFESSOR,3.0
Computer Science,186,Case Western Reserve University,Mark,,Allman,2256935,3,good,TEACHER,PROFESSOR,5.0
Anthropology,186,Case Western Reserve University,Katia,,Almeida,626486,39,good,TEACHER,PROFESSOR,4.6
Nutrition,186,Case Western Reserve University,Rima,,Alnimr,1417772,0,zero,TEACHER,PROFESSOR,N/A
Biomedical Engineering,186,Case Western Reserve University,Eben,,Alsberg,887148,9,good,TEACHER,PROFESSOR,4.7
Modern Languages,186,Case Western Reserve University,Hiroko,,Amick,1409669,6,good,TEACHER,PROFESSOR,5.0
Not Specified,186,Case Western Reserve University,L. Felipe,,Amunategui,1629759,0,zero,TEACHER,PROFESSOR,N/A
Chemistry,186,Case Western Reserve University,Alfred,,Anderson,1716666,13,poor,TEACHER,PROFESSOR,2.0
Anthropology,186,Case Western Reserve University,Eileen,,Anderson-Fye,1025122,14,good,TEACHER,PROFESSOR,4.7
Sociology,186,Case Western Reserve University,Tanetta,,Andersson,1690740,1,good,TEACHER,PROFESSOR,5.0
Nursing,186,Case Western Reserve University,Claire,,Andrews,1409632,3,average,TEACHER,PROFESSOR,2.5
Chemical Engineering,186,Case Western Reserve University,John,,Angus,948460,0,zero,TEACHER,PROFESSOR,N/A
Social Science,186,Case Western Reserve University,Elizabeth,,Anthony,2258240,1,good,TEACHER,PROFESSOR,5.0
Classics,186,Case Western Reserve University,Ricardo,,Apostol,2069101,5,good,TEACHER,PROFESSOR,4.3
Nursing,186,Case Western Reserve University,Angela,,Arumpanayil,2358091,0,zero,TEACHER,PROFESSOR,N/A
Chemistry,186,Case Western Reserve University,Rameen,,Aryana,689213,27,average,TEACHER,PROFESSOR,2.8
English,186,Case Western Reserve University,Mary,,Assad,2013052,7,good,TEACHER,PROFESSOR,5.0
Physics,186,Case Western Reserve University,Tim,,Atherton,1351300,2,good,TEACHER,PROFESSOR,4.8
Biology,186,Case Western Reserve University,Radhika,,Atit,1146748,9,average,TEACHER,PROFESSOR,2.9
Mathematics,186,Case Western Reserve University,Thomas,,Atta-Fosu,2084742,1,average,TEACHER,PROFESSOR,2.5
Law,186,Case Western Reserve University,Arthur,,Austin,318419,22,average,TEACHER,PROFESSOR,3.1
Computer Science,186,Case Western Reserve University,Erman,,Ayday,2354474,25,average,TEACHER,PROFESSOR,3.0
Religion,186,Case Western Reserve University,Alice,,Bach,43771,21,good,TEACHER,PROFESSOR,4.3
Mechanical Engineering,186,Case Western Reserve University,Richard,,Bachmann,1998769,3,average,TEACHER,PROFESSOR,2.5
Engineering,186,Case Western Reserve University,Richard,,Bachmann,1799931,21,poor,TEACHER,PROFESSOR,2.5
Biology,186,Case Western Reserve University,James,,Bader,16802,45,poor,TEACHER,PROFESSOR,2.3
Biology,186,Case Western Reserve University,Sarah,,Bagby,2278037,39,poor,TEACHER,PROFESSOR,1.7
Mathematics,186,Case Western Reserve University,Daniel,,Balague,2428975,3,good,TEACHER,PROFESSOR,4.0
Finance,186,Case Western Reserve University,Lakshmi,,Balasubramanyan,2356540,5,average,TEACHER,PROFESSOR,2.6
Anthropology,186,Case Western Reserve University,Adriann,,Balok,1061474,5,average,TEACHER,PROFESSOR,2.8
Mathematics,186,Case Western Reserve University,Pradipta,,Bandyopadhyay,1203895,4,poor,TEACHER,PROFESSOR,2.1
Mathematics,186,Case Western Reserve University,Alethea,,Barbaro,1766322,15,average,TEACHER,PROFESSOR,2.6
Computer Science,186,Case Western Reserve University,Nick,,Barendt,2420821,2,good,TEACHER,PROFESSOR,5.0
