Airport,NumberOfRoutes
AAE,9
AAL,20
AAN,2
AAQ,3
AAR,8
AAT,2
AAX,1
AAY,1
ABA,4
ABB,2
ABD,6
ABE,13
ABI,2
ABJ,49
ABL,4
ABM,1
ABQ,42
ABR,1
ABS,1
ABT,3
ABV,30
ABX,4
ABY,4
ABZ,41
ACA,8
ACC,54
ACE,116
ACH,2
ACI,2
ACK,6
ACR,2
ACT,2
ACU,1
ACV,3
ACX,6
ACY,10
ACZ,1
ADA,17
ADB,66
ADD,105
ADE,23
ADF,2
ADK,1
ADL,51
ADQ,11
ADU,3
ADZ,11
AEB,3
AEP,65
AER,26
AES,13
AET,3
AEX,6
AEY,1
AFA,2
AFL,1
AFZ,1
AGA,28
AGB,1
AGF,2
AGH,3
AGM,5
AGN,1
AGP,206
AGR,2
AGS,7
AGT,4
AGU,9
AGX,1
AHB,15
AHE,2
AHN,1
AHO,31
AHU,1
AIA,3
AIN,2
AIT,3
AIU,1
AJA,39
AJF,2
AJI,2
AJL,6
AJR,2
AJU,13
AKB,1
AKF,3
AKI,3
AKJ,7
AKK,1
AKL,96
AKN,7
AKP,3
AKU,6
AKV,2
AKX,7
AKY,3
ALA,67
ALB,31
ALC,157
ALF,10
ALG,88
ALH,3
ALO,2
ALS,6
ALW,1
AMA,10
AMD,35
AMH,1
AMM,111
AMQ,14
AMS,453
ANC,59
ANF,11
ANG,1
ANI,12
ANM,3
ANR,2
ANS,1
ANU,35
ANV,3
ANX,3
AOE,1
AOG,3
AOI,10
AOJ,5
AOK,6
AOO,2
AOQ,1
AOR,5
AOS,1
APF,1
APL,9
APN,2
APO,4
APW,5
AQA,1
AQG,7
AQI,2
AQJ,2
AQP,10
ARC,1
ARH,9
ARI,5
ARK,1
ARM,2
ARN,218
ART,4
ARU,2
ARW,1
ASB,15
ASE,2
ASF,8
ASJ,2
ASM,7
ASO,1
ASP,11
ASR,7
ASU,18
ASV,2
ASW,4
ATA,1
ATC,3
ATD,1
ATH,197
ATK,2
ATL,915
ATM,4
ATQ,9
ATT,2
ATW,9
ATY,3
ATZ,6
AUA,44
AUC,2
AUG,1
AUH,241
AUK,2
AUQ,4
AUR,1
AUS,83
AUU,2
AUX,4
AUY,1
AVA,4
AVL,12
AVN,2
AVP,9
AVV,1
AWD,2
AWZ,24
AXA,6
AXD,3
AXK,1
AXM,2
AXP,2
AXR,1
AXT,8
AXU,2
AYP,2
AYQ,4
AYT,127
AZA,32
AZD,7
AZI,4
AZN,3
AZO,6
AZR,6
AZS,6
BAH,84
BAL,3
BAQ,10
BAV,29
BAX,3
BAY,2
BAZ,1
BBA,4
BBI,9
BBK,4
BBN,2
BBO,7
BCD,6
BCI,1
BCN,391
BCV,5
BDA,15
BDB,2
BDH,2
BDJ,15
BDL,51
BDO,21
BDP,1
BDQ,5
BDS,22
BDU,1
BEB,2
BEG,86
BEJ,3
BEL,36
BEN,25
BES,17
BET,29
BEU,2
BEW,7
BEY,67
BFD,2
BFF,1
BFI,2
BFJ,8
BFL,6
BFN,4
BFQ,1
BFS,36
BFV,1
BGA,5
BGF,3
BGG,2
BGI,23
BGM,4
BGO,69
BGR,8
BGW,14
BGY,81
BHB,1
BHD,21
BHE,3
BHH,3
BHI,4
BHJ,2
BHK,6
BHM,36
BHO,6
BHQ,4
BHR,1
BHS,2
BHU,2
BHV,5
BHX,133
BHY,20
BIA,36
BIK,4
BIL,12
BIM,2
BIO,65
BIQ,14
BIR,1
BIS,6
BJA,6
BJB,1
BJF,5
BJI,1
BJL,13
BJM,13
BJR,2
BJV,31
BJX,14
BJZ,2
BKC,4
BKG,4
BKI,52
BKK,326
BKM,1
BKO,28
BKQ,1
BKS,5
BKW,2
BKY,2
BKZ,1
BLA,11
BLD,1
BLE,2
BLI,10
BLJ,4
BLK,9
BLL,47
BLQ,88
BLR,97
BLV,1
BLZ,5
BMA,27
BME,12
BMI,12
BMU,3
BMV,7
BMW,1
BMY,2
BNA,82
BNB,1
BNC,2
BND,19
BNE,152
BNI,2
BNK,5
BNN,5
BNS,2
BNX,3
BNY,2
BOB,7
BOC,2
BOD,67
BOG,152
BOH,19
BOI,21
BOJ,12
BOM,227
BON,10
BOO,18
BOS,211
BOY,2
BPL,1
BPN,36
BPS,11
BPT,2
BPX,3
BQB,3
BQK,3
BQL,2
BQN,4
BQS,5
BRA,6
BRC,7
BRD,2
BRE,50
BRI,50
BRL,2
BRM,5
BRN,12
BRO,3
BRQ,1
BRR,1
BRS,100
BRU,316
BRW,7
BSA,4
BSB,98
BSC,1
BSD,2
BSG,2
BSK,4
BSL,95
BSO,2
BSR,8
BTC,1
BTH,27
BTI,2
BTJ,5
BTK,4
BTM,1
BTR,8
BTS,20
BTT,5
BTU,7
BTV,13
BUA,4
BUC,2
BUD,98
BUF,36
BUL,1
BUN,2
BUQ,4
BUR,18
BUS,6
BUW,1
BUX,3
BUZ,5
BVA,60
BVB,3
BVC,12
BVE,5
BVG,4
BVH,1
BVI,2
BVV,1
BWA,1
BWI,142
BWK,1
BWN,23
BWT,3
BXB,1
BXR,1
BXU,4
BYC,4
BYN,2
BYO,1
BZE,28
BZG,3
BZL,1
BZN,8
BZO,2
BZR,9
BZV,25
CAB,3
CAC,3
CAE,17
CAG,43
CAH,1
CAI,151
CAJ,1
CAK,22
CAL,1
CAN,338
CAP,3
CAW,4
CAY,7
CBB,8
CBH,1
CBO,3
CBQ,2
CBR,13
CBS,1
CBT,2
CCC,6
CCF,10
CCJ,31
CCK,1
CCM,2
CCP,6
CCS,90
CCU,97
CCV,3
CDB,5
CDC,1
CDG,524
CDJ,1
CDR,3
CDV,3
CEB,49
CEC,2
CED,1
CEE,7
CEG,2
CEI,11
CEK,20
CEM,1
CEN,5
CEZ,1
CFB,3
CFC,2
CFE,9
CFK,1
CFN,2
CFR,4
CFS,4
CFU,50
CGA,5
CGB,33
CGD,8
CGH,47
CGI,1
CGK,185
CGM,1
CGN,134
CGO,174
CGP,16
CGQ,64
CGR,17
CGY,7
CHA,16
CHC,34
CHG,3
CHO,13
CHQ,44
CHS,34
CHU,1
CHX,1
CHY,1
CIA,50
CIC,1
CID,17
CIF,15
CIH,16
CIJ,2
CIK,2
CIP,1
CIT,10
CIU,1
CIX,1
CIY,8
CIZ,1
CJA,2
CJB,17
CJC,6
CJJ,9
CJL,2
CJM,1
CJS,12
CJU,59
CKB,3
CKD,2
CKG,270
CKH,2
CKS,4
CKX,1
CKY,18
CKZ,1
CLD,1
CLE,81
CLJ,21
CLL,3
CLM,1
CLO,30
CLQ,3
CLT,301
CLV,2
CLY,20
CMA,2
CMB,101
CME,3
CMG,1
CMH,63
CMI,4
CMN,125
CMU,1
CMW,3
CMX,1
CND,1
CNF,55
CNJ,5
CNM,1
CNP,2
CNS,56
CNX,48
CNY,1
COD,2
COK,59
COO,41
COQ,4
COR,13
COS,13
COU,4
CPC,1
CPD,1
CPE,2
CPH,229
CPO,4
CPR,3
CPT,44
CPV,2
CPX,1
CRA,2
CRD,6
CRI,2
CRK,13
CRL,84
CRM,2
CRP,5
CRW,6
CSG,3
CSH,1
CSK,1
CSX,189
CSY,2
CTA,115
CTC,1
CTG,12
CTL,4
CTM,1
CTS,81
CTU,324
CUC,4
CUE,3
CUF,5
CUK,6
CUL,16
CUM,1
CUN,157
CUQ,1
CUR,31
CUU,16
CUZ,11
CVG,75
CVM,2
CVU,2
CWA,5
CWB,43
CWL,32
CXB,3
CXF,1
CXH,1
CXI,4
CXJ,3
CXR,7
CYB,2
CYF,3
CYO,3
CYP,1
CYS,6
CYX,2
CYZ,1
CZE,1
CZH,3
CZL,16
CZM,16
CZS,1
CZU,2
CZX,37
DAB,5
DAC,74
DAD,33
DAL,39
DAR,35
DAT,11
DAU,4
DAV,2
DAX,9
DAY,32
DBA,1
DBO,3
DBQ,2
DBV,60
DCA,196
DCM,3
DCN,2
DCY,4
DDC,6
DDG,5
DEA,2
DEB,2
DEC,2
DED,5
DEE,1
DEF,1
DEL,264
DEN,361
DFW,469
DGA,7
DGO,5
DGT,4
DHB,2
DHI,1
DHM,2
DHN,3
DIB,6
DIE,5
DIG,7
DIJ,1
DIK,2
DIL,4
DIN,1
DIR,3
DIU,2
DIW,1
DIY,7
DJB,6
DJE,37
DJG,2
DJJ,17
DKR,67
DLA,51
DLC,142
DLE,3
DLG,3
DLH,4
DLI,5
DLM,57
DLU,7
DLY,2
DMB,4
DMD,3
DME,324
DMK,67
DMM,82
DMU,2
DND,1
DNH,7
DNK,14
DNR,3
DNZ,2
DOB,1
DOH,189
DOK,15
DOL,2
DOM,17
DOU,3
DOY,6
DPL,4
DPO,1
DPS,100
DQA,5
DRG,4
DRK,3
DRO,5
DRS,22
DRV,2
DRW,46
DSA,9
DSK,2
DSM,29
DSN,25
DTM,33
DTW,216
DUB,207
DUD,4
DUJ,2
DUR,21
DUS,285
DUT,3
DVO,14
DWC,48
DWD,2
DXB,356
DYG,21
DYR,2
DYU,52
DZA,15
DZN,2
EAE,1
EAM,3
EAR,1
EAS,3
EAT,1
EAU,1
EBA,5
EBB,34
EBH,1
EBJ,2
EBL,30
EBU,5
ECN,14
ECP,7
EDA,1
EDI,119
EDL,3
EDO,1
EDR,2
EEK,3
EFL,6
EGC,11
EGE,1
EGM,4
EGN,2
EGO,11
EGS,1
EGX,1
EIN,68
EIS,12
EJA,1
EJH,1
EKO,1
EKS,1
ELC,1
ELD,2
ELF,2
ELG,2
ELH,8
ELI,5
ELL,1
ELM,6
ELP,24
ELQ,12
ELS,5
ELU,1
ELV,1
EMA,95
EMD,2
EMK,4
ENA,3
ENE,4
ENH,4
ENU,3
ENY,5
EOH,11
EOI,1
EPR,3
EQS,3
ERC,3
ERF,6
ERI,4
ERL,2
ERM,2
ERN,1
ERS,3
ERZ,5
ESB,52
ESC,1
ESD,1
ESL,1
ESM,3
