Movie,AverageVote
"The Shawshank Redemption",8.5
"The Prisoner of Zenda",8.4
"The Godfather",8.4
"Fight Club",8.3
"Schindler's List",8.3
"Spirited Away",8.3
"The Godfather: Part II",8.3
"Pulp Fiction",8.3
"Whiplash",8.3
"The Dark Knight",8.2
"The Green Mile",8.2
"Forrest Gump",8.2
"Once Upon a Time in America",8.2
"GoodFellas",8.2
"Howl's Moving Castle",8.2
"The Empire Strikes Back",8.2
"Psycho",8.2
"Princess Mononoke",8.2
"The Visual Bible: The Gospel of John",8.2
"American History X",8.2
"One Flew Over the Cuckoo's Nest",8.2
"Anne of Green Gables",8.2
"Seven Samurai",8.2
"12 Angry Men",8.2
"Interstellar",8.1
"Inception",8.1
"The Lord of the Rings: The Return of the King",8.1
"Se7en",8.1
"The Silence of the Lambs",8.1
"The Shining",8.1
"Dead Poets Society",8.1
"Room",8.1
"Star Wars",8.1
"Love Jones",8.1
"The Usual Suspects",8.1
"Memento",8.1
"Once Upon a Time in the West",8.1
"Guten Tag, Ramón",8.1
"City of God",8.1
"The Apartment",8.1
"Modern Times",8.1
"The Good, the Bad and the Ugly",8.1
"Inside Out",8
"The Lord of the Rings: The Fellowship of the Ring",8
"The Lord of the Rings: The Two Towers",8
"The Lion King",8
"The Prestige",8
"The Pianist",8
"Apocalypse Now",8
"The Grand Budapest Hotel",8
"Scarface",8
"Back to the Future",8
"The Imitation Game",8
"Metropolis",8
"One Direction: This Is Us",8
"Star Wars: Clone Wars: Volume 1",8
"Lake of Fire",8
"Samsara",8
"It's a Wonderful Life",8
"Oldboy",8
"Some Like It Hot",8
"To Kill a Mockingbird",8
"Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb",8
"Reservoir Dogs",8
"Taxi Driver",8
"On the Waterfront",8
"Tupac: Resurrection",8
"Guardians of the Galaxy",7.9
"Gladiator",7.9
"The Wolf of Wall Street",7.9
"The Departed",7.9
"Inglourious Basterds",7.9
"Saving Private Ryan",7.9
"The Matrix",7.9
"Gone Girl",7.9
"Prisoners",7.9
"Return of the Jedi",7.9
"Blade Runner",7.9
"There Will Be Blood",7.9
"Her",7.9
"12 Years a Slave",7.9
"Eternal Sunshine of the Spotless Mind",7.9
"American Beauty",7.9
"Das Boot",7.9
"2001: A Space Odyssey",7.9
"Good Will Hunting",7.9
"Alien",7.9
"Polisse",7.9
"Incendies",7.9
"The Sting",7.9
"The Elephant Man",7.9
"Dallas Buyers Club",7.9
"Requiem for a Dream",7.9
"Batman: The Dark Knight Returns, Part 2",7.9
"The Hunt",7.9
"The Lives of Others",7.9
"Mr. Smith Goes to Washington",7.9
"Casablanca",7.9
"The Last Waltz",7.9
"WALL·E",7.8
"Big Hero 6",7.8
"Django Unchained",7.8
"Shutter Island",7.8
"The Truman Show",7.8
"Casino",7.8
"Amélie",7.8
"The Thing",7.8
"Gran Torino",7.8
"The Help",7.8
"Spotlight",7.8
"Into the Wild",7.8
"Amadeus",7.8
"The Deer Hunter",7.8
"The Theory of Everything",7.8
"Lawrence of Arabia",7.8
"The Big Lebowski",7.8
"About Time",7.8
"Stand by Me",7.8
"Akira",7.8
"Elite Squad",7.8
"Annie Hall",7.8
"The Great Escape",7.8
"The Secret in Their Eyes",7.8
"Trainspotting",7.8
"Singin' in the Rain",7.8
"Waltz with Bashir",7.8
"The Square",7.8
"The Second Mother",7.8
"Raising Victor Vargas",7.8
"Beyond the Mat",7.8
"Monty Python and the Holy Grail",7.8
"Cries and Whispers",7.8
"Ordet",7.8
"Children of Heaven",7.8
"Up",7.7
"Harry Potter and the Prisoner of Azkaban",7.7
"Terminator 2: Judgment Day",7.7
"A Beautiful Mind",7.7
"Braveheart",7.7
"The Pursuit of Happyness",7.7
"Kill Bill: Vol. 1",7.7
"Catch Me If You Can",7.7
"V for Vendetta",7.7
"Solaris",7.7
"The Sixth Sense",7.7
"Rush",7.7
"L.A. Confidential",7.7
"Bound by Honor",7.7
"Toy Story",7.7
"Million Dollar Baby",7.7
"The Notebook",7.7
"Straight Outta Compton",7.7
"Pride & Prejudice",7.7
"No Country for Old Men",7.7
"Warrior",7.7
"The Best Offer",7.7
"Raiders of the Lost Ark",7.7
"Raging Bull",7.7
"Aliens",7.7
"Hachi: A Dog's Tale",7.7
"The Color Purple",7.7
"Unforgiven",7.7
"Downfall",7.7
"The Perks of Being a Wallflower",7.7
"The Boy in the Striped Pyjamas",7.7
"Snatch",7.7
"Barry Lyndon",7.7
"The Straight Story",7.7
"My Name Is Khan",7.7
"Persepolis",7.7
"Donnie Darko",7.7
"Character",7.7
"Lilya 4-ever",7.7
"Network",7.7
"Gone with the Wind",7.7
"The Bridge on the River Kwai",7.7
"Young Frankenstein",7.7
"Before Sunrise",7.7
"Inside Job",7.7
"The Celebration",7.7
"Rebecca",7.7
"Dream with the Fishes",7.7
"A Separation",7.7
"Kevin Hart: Laugh at My Pain",7.7
"Hoop Dreams",7.7
"It Happened One Night",7.7
"The Man from Earth",7.7
"The Dark Knight Rises",7.6
"The Hobbit: The Desolation of Smaug",7.6
"Toy Story 3",7.6
"Edge of Tomorrow",7.6
"Captain America: The Winter Soldier",7.6
"How to Train Your Dragon 2",7.6
