
Date,Name,Tags,URL,Description
2019-05-09,summer challenges,,https://letterboxd.com/sarah537/list/summer-challenges/,110 movies a summer baby. yes it IS true that i have never seen any of these.

Position,Name,Year,URL,Description
1,West Side Story,1961,https://letterboxd.com/film/west-side-story/,
2,Apocalypse Now,1979,https://letterboxd.com/film/apocalypse-now/,
3,Bonnie and Clyde,1967,https://letterboxd.com/film/bonnie-and-clyde/,
4,Paris Is Burning,1990,https://letterboxd.com/film/paris-is-burning/,
5,The Magnificent Ambersons,1942,https://letterboxd.com/film/the-magnificent-ambersons/,
6,The Departed,2006,https://letterboxd.com/film/the-departed/,
7,The Third Man,1949,https://letterboxd.com/film/the-third-man/,
8,Who's Afraid of Virginia Woolf?,1966,https://letterboxd.com/film/whos-afraid-of-virginia-woolf/,
9,Hot Fuzz,2007,https://letterboxd.com/film/hot-fuzz/,
10,Strangers on a Train,1951,https://letterboxd.com/film/strangers-on-a-train/,
11,God's Own Country,2017,https://letterboxd.com/film/gods-own-country-2017/,
12,Jiro Dreams of Sushi,2011,https://letterboxd.com/film/jiro-dreams-of-sushi/,
13,"Crouching Tiger, Hidden Dragon",2000,https://letterboxd.com/film/crouching-tiger-hidden-dragon/,
14,Blackfish,2013,https://letterboxd.com/film/blackfish/,
15,East of Eden,1955,https://letterboxd.com/film/east-of-eden/,
16,The Hateful Eight,2015,https://letterboxd.com/film/the-hateful-eight/,
17,Dallas Buyers Club,2013,https://letterboxd.com/film/dallas-buyers-club/,
18,Boyhood,2014,https://letterboxd.com/film/boyhood/,
19,Incredibles 2,2018,https://letterboxd.com/film/incredibles-2/,
20,The King's Speech,2010,https://letterboxd.com/film/the-kings-speech/,
21,Mudbound,2017,https://letterboxd.com/film/mudbound/,
22,The Hurt Locker,2008,https://letterboxd.com/film/the-hurt-locker/,
23,The Aviator,2004,https://letterboxd.com/film/the-aviator/,
24,Okja,2017,https://letterboxd.com/film/okja/,
25,Little Women,1994,https://letterboxd.com/film/little-women-1994/,
26,Poltergeist,1982,https://letterboxd.com/film/poltergeist/,
27,Winter's Bone,2010,https://letterboxd.com/film/winters-bone/,
28,Star Wars: The Last Jedi,2017,https://letterboxd.com/film/star-wars-the-last-jedi/,
29,Hairspray,1988,https://letterboxd.com/film/hairspray/,
30,Wet Hot American Summer,2001,https://letterboxd.com/film/wet-hot-american-summer/,
