,date,Hubei,Italy,"Korea, South",USA,Guangdong,Henan,Zhejiang,Hunan,Anhui,New York,Jiangxi,Washington,Shandong,Jiangsu,Chongqing,California,Sichuan,Heilongjiang,Beijing,Shanghai,Hebei,Fujian,Guangxi,Shaanxi,Massachusetts,New Jersey,Yunnan,Hainan,Colorado,Hong Kong,Florida,Guizhou,Tianjin,Louisiana,Gansu,Shanxi,Liaoning,Georgia,Illinois,Jilin,Texas,Pennsylvania,Xinjiang,Ningxia,Minnesota,Michigan,Tennessee,Ohio,Virginia,Wisconsin,Nevada,Maryland,Oregon,Utah,North Carolina,South Carolina,Connecticut,Alabama,Indiana,Iowa,District of Columbia,Arkansas,Kentucky,Rhode Island,Arizona,Nebraska,Qinghai,New Hampshire,New Mexico,Maine,Mississippi,Vermont,Macau,Kansas,South Dakota,Oklahoma,Delaware,Hawaii,Montana,Missouri,Idaho,Wyoming,Tibet,North Dakota,Alaska,West Virginia
0,2020-01-22,444,0,1,0,26,5,10,4,1,0,2,0,2,1,6,0,5,0,14,9,1,1,2,0,0,0,1,4,0,0,0,1,4,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2020-01-23,444,0,1,0,32,5,27,9,9,0,7,0,6,5,9,0,8,2,22,16,1,5,5,3,0,0,2,5,0,2,0,3,4,0,2,1,3,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2020-01-24,549,0,2,0,53,9,43,24,15,0,18,0,15,9,27,0,15,4,36,20,2,10,23,5,0,0,5,8,0,2,0,3,8,0,2,1,4,0,0,3,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2020-01-25,761,0,2,0,78,32,62,43,39,0,18,0,27,18,57,0,28,9,41,33,8,18,23,15,0,0,11,19,0,5,0,4,10,0,4,6,17,0,0,4,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2020-01-26,1058,0,3,0,111,83,104,69,60,0,36,0,46,33,75,0,44,15,68,40,13,35,36,22,0,0,16,22,0,8,0,5,14,0,7,9,21,0,0,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2020-01-27,1423,0,4,0,151,128,128,100,70,0,72,0,75,47,110,0,69,21,80,53,18,59,46,35,0,0,26,33,0,8,0,7,23,0,14,13,27,0,0,6,0,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2020-01-28,3554,0,4,0,207,168,173,143,106,0,109,0,95,70,132,0,90,33,91,66,33,80,51,46,0,0,44,40,0,8,0,9,24,0,19,27,34,0,0,8,0,0,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2020-01-29,3554,0,4,0,277,206,296,221,152,0,109,0,130,99,147,0,108,38,111,96,48,84,58,56,0,0,55,43,0,10,0,9,27,0,24,27,39,0,0,9,0,0,13,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2020-01-30,4903,0,4,0,354,278,428,277,200,0,162,0,158,129,182,0,142,44,114,112,65,101,78,63,0,0,70,46,0,10,0,12,31,0,26,35,41,0,0,14,0,0,14,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0
9,2020-01-31,5806,2,11,0,436,352,538,332,237,0,240,0,184,168,211,0,177,59,139,135,82,120,87,87,0,0,83,52,0,12,0,29,32,0,29,39,48,0,0,14,0,0,17,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0
