,date,Hubei,Italy,Guangdong,Henan,Zhejiang,Hunan,Anhui,Jiangxi,Shandong,Jiangsu,Chongqing,Sichuan,Heilongjiang,Beijing,Shanghai,Hebei,Fujian,Guangxi,Shaanxi,Yunnan,Hainan,Guizhou,Shanxi,Tianjin,Liaoning,Gansu,Jilin,Hong Kong,Xinjiang,Ningxia,Washington,New York,California,Qinghai,Massachusetts,Macau,Colorado,Florida,Illinois,Georgia,New Jersey,Texas,Louisiana,Pennsylvania,Oregon,Virginia,Tennessee,Maryland,Iowa,North Carolina,Nevada,Wisconsin,South Carolina,Indiana,Kentucky,Minnesota,Ohio,Rhode Island,Nebraska,District of Columbia,Michigan,Arizona,Connecticut,Tibet,South Dakota,Utah,New Hampshire,New Mexico,Arkansas,Kansas,Oklahoma,Hawaii,Delaware,Vermont,Alabama,Missouri,Montana,Mississippi,Maine,Wyoming,North Dakota,Idaho,Alaska,West Virginia
0,2020-02-05,549,0,0,2,0,0,0,0,0,0,2,1,2,1,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2020-02-06,618,0,0,2,0,0,0,0,0,0,2,1,3,1,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2020-02-07,699,0,1,3,0,0,0,0,0,0,2,1,3,1,1,1,0,0,0,0,2,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2020-02-08,780,0,1,4,0,1,0,0,0,0,2,1,5,2,1,1,0,0,0,0,2,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2020-02-09,871,0,1,6,0,1,1,0,1,0,2,1,6,2,1,2,0,1,0,0,3,1,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2020-02-10,974,0,1,6,0,1,3,1,1,0,2,1,7,2,1,2,0,1,0,0,3,1,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2020-02-11,1068,0,1,7,0,1,4,1,1,0,3,1,8,3,1,2,0,1,0,0,3,1,0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2020-02-12,1068,0,1,8,0,2,4,1,2,0,3,1,8,3,1,2,0,1,0,0,4,1,0,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2020-02-13,1310,0,2,10,0,2,5,1,2,0,4,1,9,3,1,3,0,2,0,0,4,1,0,3,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2020-02-14,1457,0,2,11,0,2,6,1,2,0,5,1,11,3,1,3,0,2,0,0,4,1,0,3,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
