,date,Hubei,Italy,Guangdong,Henan,Zhejiang,Hunan,Anhui,Jiangxi,Shandong,Jiangsu,Chongqing,Sichuan,Heilongjiang,Beijing,Shanghai,Hebei,Fujian,Guangxi,Shaanxi,Yunnan,Hainan,Guizhou,Tianjin,Shanxi,Liaoning,Gansu,Jilin,Hong Kong,Xinjiang,Ningxia,Washington,New York,California,Qinghai,Massachusetts,Macau,Colorado,Florida,Illinois,Georgia,New Jersey,Texas,Louisiana,Pennsylvania,Oregon,Virginia,Tennessee,Maryland,Iowa,North Carolina,Nevada,Wisconsin,South Carolina,Indiana,Kentucky,Minnesota,Ohio,Rhode Island,Nebraska,District of Columbia,Michigan,Arizona,Connecticut,South Dakota,Tibet,Utah,New Hampshire,New Mexico,Arkansas,Kansas,Oklahoma,Hawaii,Delaware,Vermont,Alabama,Missouri,Montana,Mississippi,Maine,Wyoming,North Dakota,Idaho,Alaska,West Virginia
0,2020-02-12,2686,0,275,246,321,304,127,152,92,125,102,92,31,56,57,54,53,32,43,26,27,18,11,33,20,31,22,1,3,24,0,0,0,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2020-02-13,3459,0,314,296,360,339,157,170,105,139,128,104,33,69,62,68,57,33,46,27,30,27,21,36,22,39,24,1,6,24,0,0,0,11,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2020-02-14,4774,0,362,357,403,364,193,187,136,157,152,114,47,80,90,87,63,36,54,36,43,28,31,38,29,39,25,1,6,24,0,0,0,11,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2020-02-15,5623,0,410,391,428,425,221,210,156,186,184,119,68,98,124,101,71,44,60,42,39,41,37,46,31,49,26,1,10,33,0,0,0,13,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2020-02-16,6639,0,465,440,456,464,255,240,173,218,207,131,79,108,140,105,82,49,71,42,52,46,45,50,40,54,30,2,12,33,0,0,0,13,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2020-02-17,7862,0,524,509,507,498,280,275,191,258,225,156,85,114,161,122,90,53,79,47,59,57,46,53,43,58,34,2,12,35,0,0,0,13,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2020-02-18,9128,0,565,522,535,527,361,310,211,280,254,169,111,122,177,136,93,69,89,57,79,66,48,61,53,62,36,2,12,42,0,0,0,15,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2020-02-19,10337,0,606,573,604,561,413,362,231,318,274,188,120,145,186,152,112,86,102,60,84,70,54,68,55,65,37,5,20,42,0,0,0,16,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2020-02-20,11788,0,642,637,633,634,474,433,254,356,299,217,136,153,199,169,126,90,118,79,86,72,59,76,59,71,43,6,22,44,0,0,0,16,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2020-02-21,11881,0,690,736,679,661,539,489,281,373,316,231,175,169,211,184,149,97,134,96,95,77,62,78,61,76,45,5,24,48,0,0,0,18,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2020-02-22,15299,1,728,830,719,692,597,555,302,401,328,250,204,178,227,203,162,104,149,107,104,90,65,81,66,76,52,6,25,48,0,0,0,18,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2020-02-23,15343,2,755,868,760,714,637,613,321,418,335,261,222,189,249,219,170,106,163,115,106,102,81,88,73,78,54,11,28,56,0,0,0,18,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
